"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Mynt","Celeste","F","2","Williams","166.94812","free","Klamath Falls, OR","52","Playa Haters","53"
"Taylor Swift","Celeste","F","3","Williams","230.47791","free","Klamath Falls, OR","52","You Belong With Me","53"
"Amy Winehouse","Celeste","F","4","Williams","229.85098","free","Klamath Falls, OR","52","Valerie","53"
"Jimmy Eat World","Celeste","F","5","Williams","285.83138","free","Klamath Falls, OR","52","Dizzy","53"
"Maldita Nerea","Anabelle","F","0","Simpson","241.162","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","158","Supelicula","69"
"Fluke","Connar","M","0","Moreno","478.92853","free","Houston-The Woodlands-Sugar Land, TX","168","Bermuda","62"
"Habib KoitÃÂ©","Jayden","M","0","Fox","285.1522","free","New Orleans-Metairie, LA","185","Din Din Wo","101"
"The Kooks","Sara","F","0","Johnson","132.25751","paid","Winston-Salem, NC","152","Eddie's Gun","95"
"Blues Traveler","Sara","F","1","Johnson","290.24608","paid","Winston-Salem, NC","152","Hook","95"
"Coldplay","Sara","F","2","Johnson","298.762","paid","Winston-Salem, NC","152","Shiver","95"
"Tom Petty And The Heartbreakers","Sara","F","3","Johnson","183.01342","paid","Winston-Salem, NC","152","The Wild One_ Forever","95"
"Girl Talk","Sara","F","4","Johnson","173.24363","paid","Winston-Salem, NC","152","Give and Go","95"
"Florence + The Machine","Sara","F","5","Johnson","258.55955","paid","Winston-Salem, NC","152","Cosmic Love","95"
"Three Drives","Sara","F","6","Johnson","411.6371","paid","Winston-Salem, NC","152","Greece 2000","95"
"Jonas Brothers","Sara","F","7","Johnson","192.36526","paid","Winston-Salem, NC","152","Sorry","95"
"Tevin Campbell","Sara","F","8","Johnson","293.04118","paid","Winston-Salem, NC","152","Round And Round (Soul Mix Edit)","95"
"Sting","Sara","F","9","Johnson","257.12281","paid","Winston-Salem, NC","152","Windmills Of Your Mind","95"
"The Champs","Sara","F","10","Johnson","132.0224","paid","Winston-Salem, NC","152","Tequila","95"
"RÃÂ¶yksopp","Sara","F","11","Johnson","214.93506","paid","Winston-Salem, NC","152","Poor Leno Jakatta Radio Mix","95"
"Avenged Sevenfold","Sara","F","12","Johnson","312.11057","paid","Winston-Salem, NC","152","Bat Country (Album Version)","95"
"Sam Cooke","Sara","F","13","Johnson","122.04363","paid","Winston-Salem, NC","152","Ain't Misbehavin","95"
"Apulanta","Sara","F","14","Johnson","219.53261","paid","Winston-Salem, NC","152","Hallaa","95"
"Era","Sara","F","15","Johnson","200.56771","paid","Winston-Salem, NC","152","Cathar Rhythm","95"
"Klaus Badelt","Sylvie","F","1","Cruz","128.62649","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","210","Moonlight Serenade","10"
"Parov Stelar","Sara","F","16","Johnson","281.5473","paid","Winston-Salem, NC","152","KissKiss","95"
"Florence + The Machine","Lily","F","0","Koch","290.48118","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Rabbit Heart (Raise It Up)","15"
"De La Soul","Sara","F","17","Johnson","221.72689","paid","Winston-Salem, NC","152","Me_ Myself & I","95"
"Lil Wayne / T-Pain","Sara","F","18","Johnson","244.58404","paid","Winston-Salem, NC","152","Got Money","95"
"Cher","Lily","F","1","Koch","167.41832","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Milord","15"
"Edge Of Dawn","Lily","F","2","Koch","253.72689","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Losing Ground","15"
"The Black Keys","Sara","F","19","Johnson","223.84281","paid","Winston-Salem, NC","152","Elevator","95"
"Smokie Norful","Lily","F","3","Koch","337.84118","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","I Need You Now (Build A Bridge Version)","15"
"Adam Lambert","Sara","F","20","Johnson","227.39546","paid","Winston-Salem, NC","152","Whataya Want From Me","95"
"Pulp","Sara","F","21","Johnson","208.95302","paid","Winston-Salem, NC","152","Little Girl (With Blue Eyes)","95"
"Alliance Ethnik","Lily","F","4","Koch","265.76934","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Creil City","15"
"Tricky","Sara","F","22","Johnson","212.79302","paid","Winston-Salem, NC","152","Ponderosa","95"
"John Butler Trio","Lily","F","5","Koch","223.68608","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Betterman (full-length/album version)","15"
"Culture Club","Sara","F","23","Johnson","282.48771","paid","Winston-Salem, NC","152","Believe (Demo)","95"
"The Temper Trap","Lily","F","6","Koch","192.67873","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Fader","15"
"La Mosca Tse-Tse","Sara","F","24","Johnson","195.082","paid","Winston-Salem, NC","152","Patadas En El Corazon","95"
"Cute Is What We Aim For","Lily","F","7","Koch","201.22077","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Finger Twist & Split (Album Version)","15"
"Jack Johnson","Sara","F","25","Johnson","236.72118","paid","Winston-Salem, NC","152","Bubble Toes","95"
"Siriusmo","Lily","F","8","Koch","272.61342","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Simple","15"
"Creedence Clearwater Revival","Sara","F","26","Johnson","312.89424","paid","Winston-Salem, NC","152","Feelin' Blue","95"
"Alberto Plaza","Lily","F","9","Koch","271.3073","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","No Seas Cruel (vivo)","15"
"Brand New","Sara","F","27","Johnson","188.49914","paid","Winston-Salem, NC","152","Not The Sun","95"
"Sean Lennon","Lily","F","10","Koch","202.97098","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Into The Sun","15"
"K-OS","Sara","F","28","Johnson","211.33016","paid","Winston-Salem, NC","152","EMCEE Murdah","95"
"Nana Caymmi","Lily","F","11","Koch","251.0624","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Acercate Mas (2000 Digital Remaster)","15"
"Casino Versus Japan","Sara","F","29","Johnson","86.30812","paid","Winston-Salem, NC","152","Moonlupe","95"
"the bird and the bee","Sara","F","30","Johnson","281.23383","paid","Winston-Salem, NC","152","Ray Gun","95"
"Skyforger","Lily","F","12","Koch","38.94812","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","In the Yard of the Father's Son","15"
"Bryan Ferry","Lily","F","13","Koch","265.87383","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Slave To Love (1999 Digital Remaster)","15"
"The Black Keys","Sara","F","31","Johnson","196.91057","paid","Winston-Salem, NC","152","All Hands Against His Own","95"
"Foxy Shazam","Lily","F","14","Koch","201.74322","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Wanna-be Angel (Album Version)","15"
"The Ruts","Sara","F","32","Johnson","338.96444","paid","Winston-Salem, NC","152","West One (Shine On Me)","95"
"Old 97's","Lily","F","15","Koch","231.28771","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Victoria (LP Version)","15"
"Lonnie Gordon","Lily","F","16","Koch","181.21098","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Catch You Baby (Steve Pitron & Max Sanna Radio Edit)","15"
"Bon Iver","Sara","F","33","Johnson","220.70812","paid","Winston-Salem, NC","152","For Emma","95"
"Florence + The Machine","Lily","F","17","Koch","219.66322","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Dog Days Are Over (Radio Edit)","15"
"Glen Washington","Sara","F","34","Johnson","193.82812","paid","Winston-Salem, NC","152","One Of These Days","95"
"Mad Cobra","Lily","F","18","Koch","230.68689","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Flex","15"
"Dropout Year","Sara","F","35","Johnson","227.36934","paid","Winston-Salem, NC","152","This Notebook","95"
"Flogging Molly","Lily","F","19","Koch","260.75383","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Punch Drunk Grinning Soul","15"
"Young Rebel Set","Sara","F","36","Johnson","248.55465","paid","Winston-Salem, NC","152","If I Was","95"
"Sneaker Pimps","Lily","F","20","Koch","260.91057","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Spin Spin Sugar","15"
"Righteous Brothers","Sara","F","37","Johnson","215.90159","paid","Winston-Salem, NC","152","Unchained Melody","95"
"Me First And The Gimme Gimmes","Sara","F","38","Johnson","64.39138","paid","Winston-Salem, NC","152","Jonny's Blessing","95"
"Texas In July","Lily","F","21","Koch","190.69342","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Aurora","15"
"Alice In Chains","Sara","F","39","Johnson","230.60853","paid","Winston-Salem, NC","152","God Smack","95"
"10 Years","Lily","F","22","Koch","229.95546","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Wasteland","15"
"Juanes","Lily","F","23","Koch","233.40363","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","No Siento Penas","15"
"Cat Stevens","Sara","F","43","Johnson","200.202","paid","Winston-Salem, NC","152","Wild World","95"
"Passion Pit","Lily","F","24","Koch","174.75873","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Sleepyhead","15"
"The Temper Trap","Sara","F","44","Johnson","192.67873","paid","Winston-Salem, NC","152","Fader","95"
"OneRepublic","Lily","F","25","Koch","224.67873","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Secrets","15"
"Diplo","Sara","F","45","Johnson","96.86159","paid","Winston-Salem, NC","152","Florida","95"
"Afro Celt Sound System","Sara","F","46","Johnson","425.01179","paid","Winston-Salem, NC","152","Even In My Dreams","95"
"PeterLicht","Lily","F","26","Koch","306.80771","paid","Chicago-Naperville-Elgin, IL-IN-WI","199","Heiterkeit","15"
"M.A. Numminen","Sara","F","47","Johnson","166.55628","paid","Winston-Salem, NC","152","TULENLIEKKI","95"
"Limp Bizkit","Sara","F","49","Johnson","214.5171","paid","Winston-Salem, NC","152","Rollin' (Air Raid Vehicle)","95"
"Downhere","Sara","F","50","Johnson","230.71302","paid","Winston-Salem, NC","152","In America (Album Version)","95"
"Roots Manuva","Sara","F","51","Johnson","233.92608","paid","Winston-Salem, NC","152","No Love","95"
"Lykke Li","Sara","F","52","Johnson","162.19383","paid","Winston-Salem, NC","152","Let It Fall","95"
"Plan B","Sara","F","53","Johnson","222.82404","paid","Winston-Salem, NC","152","Free","95"
"Octopus Project","Sara","F","54","Johnson","498.33751","paid","Winston-Salem, NC","152","Hypnopaedia","95"
"OneRepublic","Sara","F","55","Johnson","224.67873","paid","Winston-Salem, NC","152","Secrets","95"
"Gilberto Santa Rosa","Sara","F","56","Johnson","272.16934","paid","Winston-Salem, NC","152","La Sigo Amando Tanto","95"
"Eric Clapton","Sara","F","57","Johnson","271.80363","paid","Winston-Salem, NC","152","Tears In Heaven","95"
"ARRESTED DEVELOPMENT","Sara","F","58","Johnson","200.98567","paid","Winston-Salem, NC","152","Fountain Of Youth","95"
"Future Rock","Sara","F","60","Johnson","239.90812","paid","Winston-Salem, NC","152","Gears","95"
"Steppenwolf","Sara","F","61","Johnson","208.14322","paid","Winston-Salem, NC","152","Born To Be Wild","95"
"Jason Mraz & Colbie Caillat","Sara","F","62","Johnson","189.6224","paid","Winston-Salem, NC","152","Lucky (Album Version)","95"
"Leonard Cohen","Sara","F","63","Johnson","298.57914","paid","Winston-Salem, NC","152","The Stranger Song","95"
"Bright Eyes","Ayla","F","0","Johnson","279.09179","free","Santa Rosa, CA","135","Kathy with a K's Song","63"
"The Smiths","Chloe","F","1","Cuevas","196.67546","free","San Francisco-Oakland-Hayward, CA","195","The Boy With The Thorn In His Side","49"
"Quique Gonzalez","Chloe","F","2","Cuevas","214.20363","free","San Francisco-Oakland-Hayward, CA","195","Cuando Eramos Reyes","49"
"Muse","Chloe","F","3","Cuevas","210.46812","free","San Francisco-Oakland-Hayward, CA","195","Pink Ego Box","49"
"Sugarland","Cecilia","F","0","Owens","247.77098","free","Atlanta-Sandy Springs-Roswell, GA","5","Just Might (Make Me Believe)","6"
"A Hope For Home","Cecilia","F","1","Owens","388.38812","free","Atlanta-Sandy Springs-Roswell, GA","5","Absolution: Of Flight and Failure","6"
"N.E.R.D. FEATURING MALICE","Jayden","M","0","Fox","288.9922","free","New Orleans-Metairie, LA","184","Am I High (Feat. Malice)","101"
"Death Cab for Cutie","Stefany","F","1","White","216.42404","free","Lubbock, TX","82","A Lack Of Color (Album Version)","83"
"Tracy Gang Pussy","Stefany","F","2","White","221.33506","free","Lubbock, TX","82","I Have A Wish","83"
"Skillet","Kevin","M","0","Arellano","178.02404","free","Harrisburg-Carlisle, PA","153","Monster (Album Version)","66"
"Dance Gavin Dance","Marina","F","0","Sutton","218.46159","free","Salinas, CA","47","Uneasy Hearts Weigh The Most","48"
"Dalto","Aiden","M","1","Hess","190.40608","free","La Crosse-Onalaska, WI-MN","170","Falta Te Dizer","86"
"Kanye West","Makinley","F","0","Jones","278.88281","free","Chicago-Naperville-Elgin, IL-IN-WI","118","Family Business","17"
"Jason Mraz & Colbie Caillat","Kevin","M","0","Arellano","189.6224","free","Harrisburg-Carlisle, PA","187","Lucky (Album Version)","66"
"Liz Callaway","Lily","F","0","Koch","175.43791","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Journey To The Past  (LP Version)","15"
"The Decemberists","Lily","F","1","Koch","242.59873","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Everything I Try to Do_ Nothing Seems to Turn Out Right","15"
"Christina Aguilera","Lily","F","2","Koch","254.48444","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Impossible","15"
"OneRepublic","Lily","F","3","Koch","224.67873","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Secrets","15"
"Cat Stevens","Kynnedi","F","1","Sanchez","200.202","free","Cedar Rapids, IA","88","Wild World","89"
"Brett Dennen","Lily","F","4","Koch","179.66975","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","World Keeps Turning","15"
